customerid,customer_name,country,state,gender,dob,interests,pincode,subscription_start_date,subscription_type,plan_type,contract_type,renewal_date,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,ticket_id,complaint_date,escalations,csat_score,complaint_count
0001-LQYDZ,Kavita Tamang,India,Karnataka,Male,1972-09-23,Sports,560576,2023-07-27,Paid,standard,Annually,2027-07-01,,,26.99,1287.0,1,0,165.0,2026-05-09,N,5.0,1.0
0002-BMHUM,Gaurav Thapa,Nepal,Lumbini,Male,2002-03-21,"Movies, Sports",32946,2023-11-21,Organic,standard,Annually,2027-03-04,,,26.99,553.0,28,0,,,,,
0003-FRGBT,Ruhul Singh,Nepal,Koshi,Female,1990-03-20,Sports,56732,2025-09-08,Organic,standard,Annually,2027-05-14,,,27.99,293.0,21,0,,,,,
0004-XTZNT,Rohan Patel,India,Madhya Pradesh,Female,1977-01-01,Web Series,462841,2025-05-03,Paid,premium,Monthly,2026-09-21,2026-07-08,Too expensive,17.99,464.0,95,1,302.0,2026-07-07,Y,1.0,2.0
0005-MFNWY,Ruhul Kumar,India,Gujarat,Male,1993-07-10,"Movies, Sports",395075,2025-08-11,Refferal,basic,Monthly,2027-06-17,,,16.99,364.0,9,0,,,,,
0006-CITDZ,John Sharma,Nepal,Bagmati,Female,1995-04-24,Web Series,44701,2024-02-04,Paid,standard,Monthly,2026-12-21,2026-06-15,Content fatigue,19.99,774.0,83,1,303.0,2026-06-14,Y,1.0,2.0
0007-XWJAC,Sanjay Patel,Nepal,Bagmati,Male,1984-07-20,"Movies, Sports",44753,2025-02-09,Paid,basic,Monthly,2026-12-17,2026-07-06,Switched to competitor,16.99,1196.0,80,1,304.0,2026-07-02,Y,1.0,2.0
0008-GUQGV,Sunita Kumar,Nepal,Madhesh,Female,1972-09-04,"Documentaries, Live TV",44386,2026-05-06,Organic,basic,Annually,2026-09-20,2026-04-23,Content fatigue,10.99,711.0,15,1,4.0,2026-03-24,N,1.0,1.0
0009-RWLTU,Sunita Karki,Nepal,Madhesh,Male,1971-10-27,Sports,44350,2025-04-19,Organic,basic,Monthly,2026-10-03,,,10.99,1510.0,12,0,,,,,
0010-NAOKU,Neha Lama,India,Kerala,Male,1978-01-18,"Movies, Sports",695587,2025-07-05,Organic,basic,Monthly,2026-07-22,,,26.99,1320.0,30,0,,,,,
0011-BFWDX,Priya Maharjan,Nepal,Kathmandu,Female,1976-07-07,"Documentaries, Live TV",44672,2026-02-17,Refferal,premium,Annually,2026-12-09,,,28.99,1043.0,18,0,,,,,
0012-EIQPO,Priya Lama,India,Gujarat,Male,1995-07-13,Web Series,395962,2024-09-19,Refferal,standard,Monthly,2027-05-07,,,24.99,1460.0,30,0,166.0,2025-09-25,N,3.0,1.0
0013-ZIQQG,Gaurav Thapa,Nepal,Gandaki,Male,1982-04-17,Web Series,33759,2023-08-13,Paid,premium,Annually,2027-06-14,,,28.99,819.0,6,0,,,,,
0014-ICGAL,Pooja Singh,Nepal,Koshi,Male,1996-01-10,"Documentaries, Live TV",56775,2025-09-02,Paid,premium,Monthly,2027-05-26,2026-05-07,Switched to competitor,19.99,220.0,72,1,5.0,2026-04-06,Y,2.0,1.0
0015-DFKLV,Rohan Adhikari,India,Delhi,Male,2003-05-30,Sports,110247,2023-11-13,Paid,basic,Annually,2027-03-16,2026-04-08,Too expensive,14.99,353.0,100,1,305.0,2026-03-30,Y,1.0,2.0
0016-ESTQZ,Sunita Karki,India,Delhi,Male,1977-07-24,"Documentaries, Live TV",110192,2024-09-11,Organic,basic,Annually,2027-05-11,,,15.99,205.0,20,0,,,,,
0017-VSOJH,Kiran Maharjan,India,Odisha,Female,1996-10-12,"Documentaries, Live TV",751581,2024-06-09,Paid,standard,Monthly,2026-08-13,2026-05-31,Too expensive,28.99,686.0,99,1,7.0,2026-04-05,Y,1.0,1.0
0018-NXBEI,Neha Kumar,Nepal,Lumbini,Female,1980-04-19,"Movies, Sports",32967,2023-12-04,Refferal,basic,Monthly,2027-02-17,,,13.99,1350.0,16,0,167.0,2026-01-18,N,5.0,1.0
0019-HTAVE,Sunita Magar,India,Assam,Female,1975-04-16,Sports,781098,2024-12-13,Paid,standard,Monthly,2027-02-07,,,23.99,1284.0,12,0,,,,,
0020-YFKJQ,Sneha Maharjan,India,Tamil Nadu,Male,1975-12-06,"Documentaries, Live TV",600484,2024-03-30,Organic,basic,Monthly,2026-10-29,,,12.99,1188.0,18,0,168.0,2026-02-16,N,4.0,1.0
0021-KLGTA,Sarah Lama,Nepal,Koshi,Male,1992-04-01,Web Series,56787,2025-09-01,Refferal,standard,Monthly,2027-05-25,,,9.99,1110.0,10,0,,,,,
0022-TTLCN,Arjun Lama,India,Maharashtra,Male,2004-04-10,"Documentaries, Live TV",400101,2026-05-16,Organic,basic,Monthly,2026-09-08,2026-04-22,Content fatigue,27.99,1472.0,15,1,8.0,2026-04-19,N,1.0,1.0
0023-AUGQB,Kavita Joshi,India,Telangana,Male,1983-04-29,"Documentaries, Live TV",500985,2025-10-17,Organic,standard,Annually,2027-04-07,2026-06-30,Switched to competitor,18.99,241.0,20,1,9.0,2026-05-31,N,3.0,1.0
0024-UTZBP,Amit Yadav,Nepal,Sudurpashchim,Female,1975-04-04,"Movies, Sports",10906,2026-06-11,Organic,premium,Annually,2026-08-13,,,28.99,641.0,24,0,169.0,2025-12-18,N,3.0,1.0
0025-WDCPV,Priya Joshi,Nepal,Gandaki,Male,1989-09-16,"Movies, Sports",33769,2026-04-14,Paid,standard,Monthly,2026-10-12,,,26.99,1054.0,29,0,,,,,
0026-RCIHE,Rahul Yadav,Nepal,Gandaki,Female,1975-10-23,"Documentaries, Live TV",33760,2024-02-15,Paid,standard,Annually,2026-12-12,,,10.99,295.0,16,0,170.0,2025-10-21,N,3.0,1.0
0027-DBPND,Neha Maharjan,Nepal,Madhesh,Male,1977-03-12,Sports,44332,2026-04-21,Paid,basic,Monthly,2026-10-07,,,23.99,118.0,30,0,,,,,
0028-LXWMA,Kavita Tamang,Nepal,Gandaki,Male,1992-10-15,Sports,33741,2024-01-07,Paid,premium,Monthly,2027-01-16,2026-04-27,Content fatigue,18.99,276.0,84,1,10.0,2026-03-20,Y,2.0,1.0
0029-IERWL,Sarah Magar,Nepal,Koshi,Female,1981-04-03,"Movies, Sports",56734,2024-05-23,Paid,basic,Monthly,2026-09-03,2026-05-05,Too expensive,24.99,1068.0,76,1,306.0,2026-04-28,Y,1.0,2.0
0030-AQBHE,Gaurav Gupta,India,Gujarat,Female,1999-10-26,"Documentaries, Live TV",395251,2026-06-10,Paid,basic,Monthly,2026-08-18,,,9.99,696.0,27,0,171.0,2025-11-07,N,5.0,1.0
0031-FROWJ,Kavita Patel,Nepal,Gandaki,Male,2001-08-24,Sports,33793,2026-04-24,Refferal,basic,Annually,2026-10-04,2026-05-06,Switched to competitor,21.99,1357.0,78,1,307.0,2026-04-27,Y,1.0,2.0
0032-MICFS,Pooja Gurung,India,Odisha,Male,1986-07-12,Web Series,751174,2023-11-08,Refferal,basic,Monthly,2027-03-17,2026-05-17,Switched to competitor,12.99,1172.0,100,1,13.0,2026-04-03,Y,2.0,1.0
0033-WUVBU,Amit Kumar,India,Maharashtra,Female,1989-05-05,"Documentaries, Live TV",400519,2026-01-01,Paid,basic,Annually,2027-01-23,2026-04-28,Content fatigue,16.99,847.0,71,1,14.0,2026-03-27,Y,3.0,1.0
0034-VVMTI,Neha Singh,India,Karnataka,Male,1993-06-01,Web Series,560287,2024-02-16,Organic,standard,Monthly,2026-12-11,,,11.99,114.0,22,0,172.0,2026-07-03,N,5.0,1.0
0035-MXJCV,Vikram Shah,Nepal,Gandaki,Male,1988-10-08,"Movies, Sports",33779,2023-09-02,Paid,basic,Annually,2027-05-25,,,17.99,1089.0,13,0,173.0,2026-05-10,N,4.0,1.0
0036-SZFDV,Kiran Shrestha,India,West Bengal,Female,1994-12-22,Web Series,700202,2024-02-10,Organic,basic,Annually,2026-12-11,,,13.99,739.0,29,0,,,,,
0037-BKRNT,John Patel,Nepal,Bagmati,Female,2001-11-16,Web Series,44775,2026-02-01,Organic,standard,Annually,2026-12-19,2026-07-02,Too expensive,17.99,1577.0,75,1,15.0,2026-06-15,Y,3.0,1.0
0038-WZURK,Aisha Gupta,Nepal,Karnali,Male,1983-02-07,Sports,21296,2026-03-06,Organic,standard,Annually,2026-11-22,,,24.99,483.0,26,0,,,,,
0039-FMTZW,Sarah Gurung,India,Madhya Pradesh,Female,1998-05-29,"Movies, Sports",462961,2023-10-03,Refferal,premium,Annually,2027-04-24,2026-07-01,Content fatigue,18.99,1257.0,88,1,16.0,2026-05-28,Y,2.0,1.0
0040-GOETA,Neha Tamang,Nepal,Sudurpashchim,Female,1997-05-18,Sports,10981,2023-08-12,Refferal,basic,Monthly,2027-06-17,,,19.99,554.0,11,0,,,,,
0041-MIXHJ,Rohan Magar,Nepal,Gandaki,Male,1992-07-30,Sports,33734,2026-01-11,Refferal,premium,Monthly,2027-01-13,,,15.99,1360.0,7,0,174.0,2026-03-09,N,5.0,1.0
0042-RHGVK,Priya Tamang,Nepal,Gandaki,Male,1988-11-24,Web Series,33724,2024-07-31,Paid,basic,Annually,2027-06-26,,,9.99,1303.0,19,0,,,,,
0043-VUNHB,Arjun Tamang,India,Gujarat,Female,1973-12-29,Web Series,395336,2024-11-07,Refferal,premium,Monthly,2027-03-19,,,21.99,182.0,13,0,,,,,
